,Suburb_id,Suburb,Postcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
102,102,Badger Creek,3777.0,Exhibit,Winery,Australian Restaurant,,,,,,,
103,103,Badgerys Creek,2555.0,,,,,,,,,,
104,104,Bahrs Scrub,4207.0,,,,,,,,,,
105,105,Bailup,6082.0,,,,,,,,,,
106,106,Bakewell,832.0,Gym,Child Care Service,Fish & Chips Shop,,,,,,,
107,107,Balaclava,3183.0,Café,Coffee Shop,Train Station,Burger Joint,Breakfast Spot,Bar,Turkish Restaurant,Light Rail Station,Australian Restaurant,Pharmacy
108,108,Balcatta,6021.0,Arts & Crafts Store,Cricket Ground,Insurance Office,Sporting Goods Shop,,,,,,
109,109,Bald Hills,4036.0,Fish & Chips Shop,Moving Target,,,,,,,,
110,110,Baldivis,6171.0,Event Service,Entertainment Service,,,,,,,,
111,111,Balga,6061.0,Grocery Store,Pub,Pool,Shopping Mall,,,,,,
112,112,Balgowlah,2093.0,Trail,Park,Restaurant,Golf Course,Athletics & Sports,Liquor Store,,,,
113,113,Balgowlah Heights,2093.0,Scenic Lookout,Park,Tennis Court,,,,,,,
114,114,Ballajura,6066.0,Grocery Store,Park,Pub,Pool,Fast Food Restaurant,,,,,
115,115,Balmain,2041.0,Café,Pub,Sushi Restaurant,Bar,Pizza Place,Italian Restaurant,Park,Indian Restaurant,Middle Eastern Restaurant,Beer Garden
116,116,Balmain East,2041.0,Café,Gastropub,Bowling Green,Italian Restaurant,Park,,,,,
117,117,Balmoral,4171.0,Gift Shop,Gym / Fitness Center,,,,,,,,
118,118,Balnarring,3926.0,,,,,,,,,,
119,119,Balnarring Beach,3926.0,,,,,,,,,,
120,120,Balwyn,3103.0,Café,Japanese Restaurant,Cosmetics Shop,Italian Restaurant,Movie Theater,Malay Restaurant,Vietnamese Restaurant,,,
121,121,Balwyn North,3104.0,,,,,,,,,,
122,122,Bangholme,3175.0,,,,,,,,,,
123,123,Bangor,2234.0,Shopping Mall,Pub,Burger Joint,Liquor Store,Chinese Restaurant,,,,,
124,124,Banjup,6164.0,,,,,,,,,,
125,125,Banks,2906.0,Grocery Store,,,,,,,,,
126,126,Banksia,2216.0,Adult Boutique,Park,Convenience Store,,,,,,,
127,127,Banksia Beach,4507.0,Shopping Mall,,,,,,,,,
128,128,Banksia Grove,6031.0,Fast Food Restaurant,Supermarket,Shopping Plaza,Coffee Shop,,,,,,
129,129,Banksia Park,5091.0,Athletics & Sports,Football Stadium,,,,,,,,
130,130,Banksmeadow,2019.0,Café,Park,Golf Course,Sandwich Place,Bakery,,,,,
131,131,Bankstown,2200.0,Vietnamese Restaurant,Café,Chinese Restaurant,Coffee Shop,Sports Bar,Steakhouse,Lebanese Restaurant,Bakery,Convenience Store,Department Store
132,132,Bannockburn,4207.0,,,,,,,,,,
133,133,Banyo,4014.0,Coffee Shop,Burrito Place,,,,,,,,
134,134,Barangaroo,2000.0,Café,Bar,Coffee Shop,Italian Restaurant,Sandwich Place,Seafood Restaurant,Hotel,Pub,Burger Joint,Bakery
135,135,Barden Ridge,2234.0,Park,Other Great Outdoors,Astrologer,,,,,,,
136,136,Bardia,2565.0,,,,,,,,,,
137,137,Bardon,4065.0,Pharmacy,Music Venue,Convenience Store,Playground,,,,,,
138,138,Bardwell Park,2207.0,Train Station,Bar,Golf Course,Café,Gym,,,,,
139,139,Bardwell Valley,2207.0,Park,Playground,,,,,,,,
140,140,Barellan Point,4306.0,,,,,,,,,,
141,141,Barton,2600.0,Hotel,Café,Hotel Bar,French Restaurant,Coffee Shop,Turkish Restaurant,Event Space,Bistro,Cantonese Restaurant,History Museum
142,142,Basin Pocket,4305.0,Sandwich Place,,,,,,,,,
143,143,Baskerville,6056.0,Winery,,,,,,,,,
144,144,Bass Hill,2197.0,Fast Food Restaurant,Gym,Bakery,Pizza Place,Big Box Store,Café,Grocery Store,Shopping Mall,Supermarket,Pub
145,145,Bassendean,6054.0,Museum,,,,,,,,,
146,146,Bateman,6150.0,,,,,,,,,,
147,147,Battery Point,7004.0,Italian Restaurant,Restaurant,Bar,Bakery,Thai Restaurant,Tea Room,Motel,Liquor Store,Asian Restaurant,Hotel
148,148,Baulkham Hills,2153.0,Café,Pizza Place,Bakery,Burger Joint,Thai Restaurant,Gym,Shopping Mall,Fast Food Restaurant,Pharmacy,Liquor Store
